nom;70:BC:48:53:F0:A0;70:BC:48:53:F0:AF;70:BC:48:53:EC:40;70:BC:48:53:EC:4F;70:BC:48:53:EE:60;70:BC:48:53:EE:6F
1;-58;-57;-77;-63;-85;-88
2;-60;-44;-62;-54;-82;-84
3;-49;-44;-63;-59;-75;-84
4;-33;-35;-51;-48;-72;-76
5;-33;-35;-51;-48;-72;-76
6;-49;-31;-63;-47;-76;-79
7;-46;-52;-67;-62;-74;-83
8;-59;-62;-75;-70;-84;-85
9;-53;-52;-75;-64;-82;-86
10;-53;-55;-75;-64;-82;-87
11;-64;-63;-75;-69;-83;-88
12;-56;-55;-87;-67;-75;-89
13;-54;-55;-88;-70;-79;-90
14;-61;-59;-71;-72;-83;-90
15;-58;-58;-80;-69;-82;-87
16;
17;
18;
19;
20;
21;
22;
23;
24;
25;-62;-51;-69;-56;-78;-81
26;-61;-56;-79;-64;-73;-81
27;-60;-59;-69;-62;-70;-78
28;-62;-59;-61;-54;-68;-79
29;-45;-49;-61;-56;-68;-78
30;-52;-52;-74;-60;-73;-84
31;-59;-58;-63;-57;-74;-82
32;-45;-49;-62;-56;-64;-77
33;-60;-58;-61;-60;-61;-79
34;
35;-81;-58;-54;-56;-73;-73
36;-60;-61;-60;-63;-74;-77
37;-62;-64;-64;-62;-70;-75
38;-73;-64;-59;-61;-73;-73
39;-66;-63;-61;-64;-70;-79
40;-60;-58;-66;-58;-69;-76
41;-68;-63;-69;-61;-65;-78
42;-65;-62;-69;-58;-68;-75
43;-63;-62;-60;-63;-70;-80
44;-49;-41;-54;-45;-72;-70
45;-50;-57;-71;-55;-73;-71
46;-49;-53;-44;-57;-72;-70
47;-49;-47;-44;-45;-73;-70
48;-47;-45;-52;-41;-60;-71
49;-45;-44;-42;-43;-62;-75
50;-66;-66;-52;-52;-68;-75
51;-65;-63;-52;-54;-69;-71
52;-63;-63;-76;-57;-67;-77
53;-61;-64;-68;-55;-65;-78
54;-60;-65;-63;-56;-64;-78
55;-62;-61;-61;-55;-68;-73
56;-62;-65;-54;-55;-62;-73
57;-72;-62;-66;-55;-74;-77
58;-63;-63;-65;-51;-47;-81
59;-57;-53;-66;-57;-81;-75
60;-71;-60;-53;-60;-70;-75
61;-61;-67;-54;-61;-71;-71
62;-58;-65;-59;-58;-63;-75
63;-62;-63;-72;-63;-73;-77
64;-70;-57;-64;-56;-80;-78
65;-64;-64;-61;-60;-68;-76
66;-59;-63;-72;-64;-73;-77
67;-58;-56;-64;-62;-63;-75
68;-61;-45;-48;-38;-75;-73
69;-66;-62;-66;-46;-71;-80
70;
71;
72;-60;-62;-48;-50;-78;-82
73;-68;-67;-54;-48;-77;-80
74;-66;-66;-42;-53;-71;-77
75;-59;-48;-44;-40;-65;-78
76;-66;-75;-62;-59;-68;-85
77;-75;-74;-47;-51;-77;-88
78;-66;-75;-50;-58;-87;-90
79;-70;-64;-65;-52;-78;-83
80;-57;-63;-54;-50;-77;-82
81;-66;-63;-44;-51;-68;-80
82;-62;-62;-48;-48;-78;-84
83;
84;
85;-46;-52;-34;-34;-72;-82
86;-72;-68;-52;-53;-72;-85
87;-74;-72;-49;-49;-78;-87
88;-77;-73;-55;-53;-89;-90
89;-65;-65;-44;-54;-78;-83
90;
;
;
;
;
;
