"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.737513000E-3,-2.171468735E-2,-2.611351013E-2,1.291418076E-2,3.633481970E-2
1.232449200E-2,-9.321689606E-3,-2.448368073E-2,4.695177078E-2,5.376628403E-2
1.700511700E-2,-9.462356567E-3,-2.667760849E-2,9.758710861E-2,1.016094226E-1
2.168563800E-2,2.323484421E-2,-5.002737045E-2,1.503558159E-1,1.601545102E-1
2.636621100E-2,5.044031143E-2,-5.445480347E-2,1.988439560E-1,2.122462473E-1
3.104673100E-2,7.855749130E-2,-9.772682190E-2,2.180953026E-1,2.515698157E-1
3.572730400E-2,6.885147095E-2,-1.052598953E-1,2.386360168E-1,2.697541828E-1
4.040782500E-2,8.882999420E-2,-1.294779778E-1,2.214727402E-1,2.714875489E-1
4.508839800E-2,1.188545227E-1,-1.536645889E-1,2.573981285E-1,3.224794567E-1
4.976897100E-2,1.608691216E-1,-1.365966797E-1,2.462286949E-1,3.242932275E-1
5.444949200E-2,1.749558449E-1,-1.249079704E-1,1.911430359E-1,2.876581459E-1
5.913006500E-2,2.163982391E-1,-1.020355225E-1,1.338772774E-1,2.741579310E-1
6.381058600E-2,2.591938972E-1,-8.368587494E-2,8.236932755E-2,2.845514157E-1
6.849115900E-2,2.745089531E-1,-6.235408783E-2,3.534507751E-2,2.837119527E-1
7.317173100E-2,2.662296295E-1,-5.350685120E-2,-1.468181610E-3,2.715572763E-1
7.785225200E-2,2.601952553E-1,-3.139925003E-2,-5.625629425E-2,2.680527083E-1
8.253282500E-2,2.560930252E-1,1.281738281E-3,-1.037197113E-1,2.763024772E-1
8.721334600E-2,2.149767876E-1,3.524637222E-2,-1.017498970E-1,2.404378662E-1
9.189391900E-2,1.880931854E-1,5.238580704E-2,-1.120910645E-1,2.251393478E-1
9.657449200E-2,1.539158821E-1,6.260299683E-2,-1.159772873E-1,2.026325866E-1
1.012550130E-1,1.466655731E-1,5.012369156E-2,-1.205430031E-1,1.963511915E-1
1.059355860E-1,1.168165207E-1,7.064390182E-2,-1.074657440E-1,1.737398817E-1
1.106161060E-1,9.701776505E-2,4.931545258E-2,-1.187286377E-1,1.610619446E-1
1.152966790E-1,6.134939194E-2,5.644559860E-2,-1.050620079E-1,1.341188987E-1
1.199772520E-1,6.300258636E-2,2.190685272E-2,-1.043272018E-1,1.238281112E-1
1.246577730E-1,4.741525650E-2,2.769136429E-2,-1.022591591E-1,1.160687461E-1
1.293383460E-1,4.964637756E-2,2.384948730E-2,-1.196727753E-1,1.317388856E-1
1.340188670E-1,5.056524277E-2,6.139278412E-3,-1.490879059E-1,1.575491612E-1
1.386994400E-1,2.001047134E-2,3.800392151E-4,-1.509008408E-1,1.522222951E-1
1.433800130E-1,3.531694412E-2,-1.466178894E-2,-1.839003563E-1,1.878339576E-1
1.480605340E-1,4.710674286E-3,-3.165388107E-2,-1.800365448E-1,1.828587326E-1
1.527411060E-1,1.778364182E-2,-4.589653015E-2,-1.890740395E-1,1.953758987E-1
1.574216270E-1,1.298141479E-2,-2.962732315E-2,-1.548013687E-1,1.581447412E-1
1.621022000E-1,1.888227463E-2,-2.777004242E-2,-1.666336060E-1,1.699837468E-1
1.667827730E-1,3.545665741E-2,-3.279352188E-2,-1.720409393E-1,1.786915623E-1
1.714632940E-1,3.695487976E-2,-1.200199127E-2,-1.733279228E-1,1.776296140E-1
1.761438670E-1,4.006433487E-2,-4.042530060E-2,-1.568045616E-1,1.668143471E-1
1.808243880E-1,5.428361893E-2,-2.810621262E-2,-1.438326836E-1,1.562834327E-1
1.855049610E-1,5.608177185E-2,-2.962589264E-2,-1.343178749E-1,1.485400625E-1
1.901855340E-1,8.555841446E-2,-4.450082779E-2,-1.445479393E-1,1.737661438E-1
