"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.420586000E-3,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
9.195430000E-3,-4.559969902E-2,6.714630127E-2,1.406393051E-1,1.623803328E-1
1.396990900E-2,-9.226870537E-2,1.198747158E-1,3.035097122E-1,3.391188684E-1
1.874428400E-2,-1.395118237E-1,1.781854630E-1,5.011358261E-1,5.498642781E-1
2.351865900E-2,-1.050150394E-1,1.508638859E-1,3.880825043E-1,4.294136708E-1
2.829308600E-2,-5.005311966E-2,1.170523167E-1,3.535070419E-1,3.757310053E-1
3.306746100E-2,8.735179901E-3,7.378935814E-2,2.022371292E-1,2.154553995E-1
3.784183600E-2,3.238236904E-2,3.590106964E-2,-8.323001862E-2,9.625352266E-2
4.261621100E-2,7.887482643E-2,1.405620575E-2,-2.556524277E-1,2.679122598E-1
4.739058600E-2,1.256122589E-1,-1.979732513E-2,-4.294147491E-1,4.478475192E-1
5.216496100E-2,1.520081758E-1,-4.584765434E-2,-5.331888199E-1,5.563261728E-1
5.693933600E-2,1.560567617E-1,-1.267874241E-1,-6.218538284E-1,6.535525593E-1
6.171371100E-2,2.061775923E-1,-1.465888023E-1,-7.545003891E-1,7.957815741E-1
6.648808600E-2,1.995880604E-1,-1.677663326E-1,-7.465896606E-1,7.908078512E-1
7.126246100E-2,1.768761873E-1,-1.748814583E-1,-5.219430923E-1,5.781810285E-1
7.603683600E-2,7.984030247E-2,-1.934676170E-1,-3.339176178E-1,3.940877671E-1
8.081121100E-2,1.521480083E-2,-1.846783161E-1,-1.853685379E-1,2.621050657E-1
8.558558600E-2,-2.177608013E-2,-1.634488106E-1,-5.712032318E-2,1.745062826E-1
9.036001300E-2,-6.920289993E-2,-1.688449383E-1,3.464126587E-2,1.857354889E-1
9.513438800E-2,-9.284639359E-2,-1.515903473E-1,1.058206558E-1,2.068770103E-1
9.990876300E-2,-8.481347561E-2,-1.924777031E-1,1.190404892E-1,2.416849807E-1
1.046831380E-1,-8.981156349E-2,-1.885082722E-1,1.135234833E-1,2.376742874E-1
1.094575130E-1,-4.766452312E-2,-1.918396950E-1,7.399654388E-2,2.110683866E-1
1.142318880E-1,-2.632391453E-2,-2.228860855E-1,3.847789764E-2,2.277096928E-1
1.190062630E-1,-1.071000099E-2,-2.300577164E-1,-1.773834229E-4,2.303069440E-1
1.237806380E-1,1.600384712E-2,-2.489488125E-1,-5.106735229E-2,2.546360321E-1
1.285550130E-1,3.536236286E-2,-2.630093098E-1,-7.007694244E-2,2.744725334E-1
1.333293880E-1,4.340720177E-2,-2.795457840E-1,-8.135509491E-2,2.943614818E-1
1.381037630E-1,6.380534172E-2,-2.939751148E-1,-8.282852173E-2,3.120145089E-1
1.428781380E-1,8.011186123E-2,-2.740445137E-1,-7.248020172E-2,2.945703404E-1
1.476525130E-1,6.716227531E-2,-2.742247581E-1,-2.280235291E-2,2.832488950E-1
1.524268880E-1,7.203340530E-2,-2.590842247E-1,-1.838970184E-2,2.695396596E-1
1.572013150E-1,1.009031534E-1,-2.472631931E-1,6.955146790E-3,2.671495969E-1
1.619756380E-1,9.252804518E-2,-2.478351593E-1,4.797077179E-2,2.688585135E-1
1.667500650E-1,1.128610373E-1,-2.045390606E-1,7.167530060E-2,2.443587317E-1
1.715244400E-1,1.049028635E-1,-2.021005154E-1,7.848739624E-2,2.408516150E-1
1.762988150E-1,7.367807627E-2,-1.765890121E-1,1.107521057E-1,2.210840724E-1
1.810731900E-1,4.955077171E-2,-1.937170029E-1,1.351385117E-1,2.413378825E-1
1.858475650E-1,1.859784126E-3,-1.965057850E-1,1.775283813E-1,2.648288287E-1
1.906219400E-1,-1.978981495E-2,-2.085850239E-1,1.675271988E-1,2.682623926E-1
1.953963150E-1,-7.424640656E-2,-2.111701965E-1,1.461362839E-1,2.673222667E-1
2.001706900E-1,-1.208460331E-1,-2.069630623E-1,1.276845932E-1,2.715526251E-1
2.049450650E-1,-1.270226240E-1,-1.447465420E-1,7.003688812E-2,2.049182133E-1
2.097194400E-1,-1.076066494E-1,-5.623269081E-2,1.848411560E-2,1.228127397E-1
2.144938150E-1,-9.793722630E-2,5.345821381E-2,-3.416442871E-2,1.166905699E-1
2.192681900E-1,-7.645809650E-2,1.276888847E-1,-1.136226654E-1,1.872442306E-1
2.240426170E-1,-5.245602131E-2,2.117049694E-1,-1.631298065E-1,2.723636577E-1
2.288169920E-1,-4.696011543E-2,3.030982018E-1,-1.997652054E-1,3.660326620E-1
2.335913670E-1,-1.025938988E-2,3.877477646E-1,-2.120943069E-1,4.420832264E-1
2.383653250E-1,1.949524879E-2,4.188981056E-1,-2.005968094E-1,4.648599440E-1
2.430461070E-1,1.672077179E-2,4.422879219E-1,-1.774797440E-1,4.768618768E-1
2.477268880E-1,4.752904177E-2,4.347414970E-1,-1.383218765E-1,4.586852086E-1
2.524076690E-1,2.691614628E-2,3.943490982E-1,-1.443748474E-1,4.208084918E-1
2.570884500E-1,2.847552299E-2,3.428928852E-1,-1.384801865E-1,3.708950636E-1
2.617692320E-1,1.366031170E-2,2.946519852E-1,-9.507369995E-2,3.099119309E-1
2.664500130E-1,3.799802065E-2,2.380063534E-1,-6.435298920E-2,2.494637870E-1
2.711307940E-1,5.120140314E-2,2.606425285E-1,-1.144838333E-1,2.892449817E-1
2.758115750E-1,9.845781326E-2,2.841589451E-1,-1.878261566E-1,3.545686283E-1
2.804923570E-1,1.047920585E-1,3.651845455E-1,-2.981100082E-1,4.829189423E-1
2.851731380E-1,1.136873960E-1,4.345407486E-1,-3.364877701E-1,5.612258954E-1
2.898539190E-1,7.819676399E-2,4.851326942E-1,-3.111133575E-1,5.816012261E-1
2.945347520E-1,1.283586025E-2,5.639982224E-1,-2.323179245E-1,6.101068531E-1
2.992155340E-1,-3.556025028E-2,6.115434170E-1,-1.903591156E-1,6.414721156E-1
3.038963150E-1,-7.218515873E-2,6.471087933E-1,-1.870107651E-1,6.774463180E-1
3.085770960E-1,-7.824432850E-2,6.711068153E-1,-2.264490128E-1,7.125908278E-1
3.132578770E-1,-6.809937954E-2,6.742615700E-1,-2.278804779E-1,7.149795119E-1
3.179386590E-1,-7.502162457E-2,6.873373985E-1,-2.106676102E-1,7.228013458E-1
3.226194400E-1,-7.552516460E-2,6.865961552E-1,-1.798219681E-1,7.137606538E-1
3.273002210E-1,-7.482731342E-2,7.499606609E-1,-1.685504913E-1,7.723013582E-1
3.319810020E-1,-8.009040356E-2,7.821431160E-1,-1.859912872E-1,8.079325996E-1
3.366617840E-1,-8.625543118E-2,8.025007248E-1,-2.482414246E-1,8.444354431E-1
3.413425650E-1,-7.615780830E-2,8.041954041E-1,-3.570194244E-1,8.831721967E-1
3.460233460E-1,-5.178344250E-2,8.132975101E-1,-4.408159256E-1,9.265274120E-1
3.507041270E-1,-7.439243793E-2,7.916955948E-1,-5.234832764E-1,9.520246269E-1
3.553849610E-1,-5.580085516E-2,7.892160416E-1,-5.790233612E-1,9.804303894E-1
3.600657420E-1,-2.011162043E-2,7.392888069E-1,-5.982885361E-1,9.512631548E-1
3.647465230E-1,-5.014532804E-2,7.414584160E-1,-6.572418213E-1,9.920896876E-1
3.694273050E-1,-1.544896960E-1,7.359778881E-1,-6.065645218E-1,9.661526986E-1
3.741080860E-1,-1.575866938E-1,7.725803852E-1,-5.705060959E-1,9.732374957E-1
3.787888670E-1,-1.177954674E-1,8.269212246E-1,-4.874038696E-1,9.670765306E-1
3.834696480E-1,-8.850252628E-2,8.686172962E-1,-4.408063889E-1,9.780792283E-1
3.881504300E-1,-7.909613848E-2,8.766331673E-1,-4.515628815E-1,9.892678833E-1
3.928312110E-1,-8.209246397E-2,8.375630379E-1,-4.954586029E-1,9.765911336E-1
3.975119920E-1,-9.218227863E-2,8.040871620E-1,-5.933914185E-1,1.003577158E0
4.021927730E-1,-7.372391224E-2,7.833628654E-1,-6.502037048E-1,1.020714187E0
4.068735550E-1,-5.068188906E-2,8.014152050E-1,-7.137460709E-1,1.074368856E0
4.115543360E-1,-7.975077629E-2,7.987079620E-1,-7.390203476E-1,1.091075464E0
4.162351170E-1,-9.678637981E-2,8.062260151E-1,-7.572488785E-1,1.110312503E0
4.209159500E-1,-1.163431406E-1,8.144836426E-1,-6.904935837E-1,1.074104613E0
4.255967320E-1,-1.360797286E-1,7.596943378E-1,-6.935281754E-1,1.037609999E0
4.302775130E-1,-1.137259007E-1,7.253999710E-1,-5.834102631E-1,9.378199366E-1
4.349582940E-1,-7.607597113E-2,6.782438755E-1,-4.631423950E-1,8.248049382E-1
4.396390750E-1,-4.715722799E-2,6.088242531E-1,-3.706722260E-1,7.143449268E-1
4.443198570E-1,1.613676548E-3,5.622282028E-1,-3.174648285E-1,6.456679281E-1
4.490006380E-1,4.938268661E-2,4.929354191E-1,-3.194923401E-1,5.894907400E-1
4.536814190E-1,7.315677404E-2,4.031801224E-1,-3.357295990E-1,5.297362441E-1
4.583622000E-1,1.961740255E-1,3.520374298E-1,-2.498931885E-1,4.741953247E-1
4.630429820E-1,2.986845374E-1,3.008646965E-1,-1.765985489E-1,4.592592579E-1
4.677237630E-1,4.327327609E-1,2.071583271E-1,-1.157789230E-1,4.935351800E-1
4.724045440E-1,5.104582310E-1,1.401803493E-1,-1.455154419E-1,5.489926045E-1
4.770853250E-1,5.354468822E-1,1.205015182E-2,-2.388162613E-1,5.864143386E-1
4.817661590E-1,5.233694315E-1,-1.217963696E-1,-3.856458664E-1,6.614171541E-1
4.864468880E-1,4.871896207E-1,-2.380845547E-1,-5.615987778E-1,7.806607259E-1
4.911277210E-1,5.051208138E-1,-3.700394630E-1,-6.337900162E-1,8.909354777E-1
4.958085020E-1,4.864239991E-1,-4.940385818E-1,-6.268672943E-1,9.346898052E-1
5.004892840E-1,4.791351855E-1,-4.988241196E-1,-6.221275330E-1,9.302895762E-1
5.051700650E-1,5.001249313E-1,-4.876909256E-1,-6.384000778E-1,9.463202657E-1
5.098508460E-1,4.783818424E-1,-4.112026691E-1,-5.616006851E-1,8.445899311E-1
5.145316270E-1,4.429995418E-1,-3.554923534E-1,-4.968051910E-1,7.546116917E-1
5.192124090E-1,3.940296173E-1,-2.780318260E-1,-3.821315765E-1,6.152930825E-1
5.238931900E-1,3.359600604E-1,-2.787017822E-1,-2.393445969E-1,4.978249508E-1
5.285739710E-1,3.039710224E-1,-2.688043118E-1,-8.302307129E-2,4.141822918E-1
5.332547520E-1,3.115763664E-1,-2.934753895E-1,1.222686768E-1,4.451485883E-1
5.379355340E-1,3.270499110E-1,-3.664042950E-1,3.095979691E-1,5.805726949E-1
5.426163670E-1,3.473831117E-1,-4.725120068E-1,4.528589249E-1,7.409614218E-1
5.472971480E-1,2.961679101E-1,-6.327571869E-1,5.286474228E-1,8.761079763E-1
5.519779300E-1,2.139571905E-1,-7.444875240E-1,5.303287506E-1,9.387693735E-1
5.566587110E-1,1.409246325E-1,-8.528838158E-1,5.295619965E-1,1.013758582E0
5.613394920E-1,1.730555296E-2,-9.411473274E-1,5.926828384E-1,1.112353685E0
5.660202730E-1,-4.091596603E-2,-9.240486622E-1,7.072448730E-1,1.164360493E0
5.707010550E-1,-9.884494543E-2,-9.209232330E-1,8.204803467E-1,1.237359254E0
5.753818360E-1,-1.209373474E-1,-8.652360439E-1,8.422307968E-1,1.213512245E0
5.800626170E-1,-1.997071505E-1,-7.980465889E-1,7.520265579E-1,1.114587479E0
5.847433980E-1,-2.772212625E-1,-6.464328766E-1,7.218751907E-1,1.007884360E0
5.894241800E-1,-2.861427665E-1,-3.926126957E-1,6.637306213E-1,8.225331296E-1
5.941049610E-1,-2.663236260E-1,-1.023294926E-1,6.327753067E-1,6.941211621E-1
5.987857420E-1,-1.529976726E-1,1.217372417E-1,5.862741470E-1,6.180174911E-1
6.034665750E-1,-3.209948540E-3,3.061270714E-1,5.078535080E-1,5.929917986E-1
6.081473570E-1,1.519570947E-1,4.085795879E-1,4.784317017E-1,6.472442595E-1
6.128281380E-1,2.861353755E-1,4.422180653E-1,5.045118332E-1,7.293575668E-1
6.175089190E-1,3.971688151E-1,3.065481186E-1,5.117616653E-1,7.166692535E-1
6.221897000E-1,4.073840976E-1,1.605010033E-1,3.980379105E-1,5.917402751E-1
6.268704820E-1,3.606246710E-1,-1.651620865E-2,2.970304489E-1,4.674933433E-1
6.315512630E-1,2.927240729E-1,-1.406979561E-1,3.674259186E-1,4.903928052E-1
6.362320440E-1,2.174940705E-1,-2.454693317E-1,5.459661484E-1,6.368970864E-1
6.409128250E-1,1.461889744E-1,-2.692320347E-1,7.604770660E-1,8.198673507E-1
6.455936070E-1,1.421200633E-1,-2.599542141E-1,1.053240776E0,1.094116282E0
6.502743880E-1,1.234174967E-1,-2.370576859E-1,1.337162018E0,1.363609360E0
6.549551690E-1,8.207571507E-2,-2.759478092E-1,1.587237358E0,1.613135471E0
6.596359500E-1,2.006655931E-2,-3.644289970E-1,1.815594673E0,1.851916623E0
6.643167320E-1,-1.778769493E-2,-4.855573177E-1,2.050881386E0,2.107651956E0
6.689975650E-1,-8.897221088E-2,-6.085236073E-1,2.221862793E0,2.305404803E0
6.736783460E-1,-1.315363646E-1,-6.862170696E-1,2.376665115E0,2.477242974E0
6.783591270E-1,-1.549969912E-1,-7.695624828E-1,2.482407570E0,2.603574048E0
6.830399090E-1,-2.209768295E-1,-8.948469162E-1,2.513561249E0,2.677232137E0
6.877206900E-1,-2.241615057E-1,-9.579520226E-1,2.468547821E0,2.657376301E0
6.924014710E-1,-2.358585596E-1,-1.035939455E0,2.409903526E0,2.633711226E0
6.970822520E-1,-2.150266171E-1,-1.115087390E0,2.288066864E0,2.554389615E0
7.017630340E-1,-1.425775290E-1,-1.174389958E0,2.143999100E0,2.448724620E0
7.064438150E-1,-1.162483692E-1,-1.242821813E0,2.020712852E0,2.375163189E0
7.111245960E-1,-1.119617224E-1,-1.258787751E0,1.853954315E0,2.243708678E0
7.158053770E-1,-9.148317575E-2,-1.284509778E0,1.660654068E0,2.101453420E0
7.204861590E-1,-3.824639320E-2,-1.251003981E0,1.457609177E0,1.921223115E0
7.251669400E-1,5.464148521E-2,-1.187195063E0,1.254376411E0,1.727969326E0
7.298477730E-1,1.318191886E-1,-1.109838486E0,1.074644089E0,1.550476598E0
7.345285550E-1,3.690025806E-1,-1.180586815E0,1.029932022E0,1.609567676E0
