t;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
0;-0.4354937;2.3078775;9.667004;-0.057268575;-0.56260645;0.06101012;10.6875;-30.150002;-24.562502
10;-0.3481557;2.3952155;9.792626;0.05337431;-0.63148147;0.050243627;10.837501;-30.31875;-23.831251
19;-0.25842485;2.5674987;9.827323;0.16821688;-0.68126696;0.028863361;11.925;-30.056252;-24.91875
28;-0.0741775;2.7553353;9.737592;0.27725625;-0.7044798;0.003817905;13.125001;-29.156252;-25.743752
38;0.025124637;2.8677979;9.670592;0.3615556;-0.6669116;-0.024587307;13.762501;-28.518751;-26.456251
47;0.13998012;2.940779;9.628718;0.40065095;-0.5676461;-0.05177079;14.118751;-28.031252;-26.85
56;0.21535404;3.0412776;9.432507;0.39423686;-0.45433068;-0.06276636;14.3625;-27.69375;-27.13125
66;0.21296121;3.001796;9.241081;0.34597853;-0.34834564;-0.066126116;14.56875;-27.431252;-27.337502
75;0.13878371;2.8701909;9.160921;0.26656613;-0.23441936;-0.07101303;15.150001;-27.000002;-27.993752
84;0.034695927;2.766103;9.113065;0.16332997;-0.123852834;-0.0923933;15.712501;-26.531252;-28.593752
94;-0.13758731;2.7074788;9.122637;0.059177525;-0.03649917;-0.11835505;15.843751;-26.23125;-28.800001
103;-0.2883351;2.6679974;9.177671;-0.028176138;0.029779658;-0.13271037;15.731251;-26.212502;-29.00625
113;-0.41994038;2.656033;9.215957;-0.09445497;0.07040217;-0.13148865;15.637501;-26.1375;-28.81875
122;-0.4953143;2.6895328;9.254242;-0.13355032;0.08384119;-0.11499529;15.7875;-26.062502;-29.04375
131;-0.5204389;2.7242286;9.369097;-0.15401429;0.07498365;-0.09544762;15.918751;-25.968752;-29.23125
141;-0.47138608;2.7278178;9.456435;-0.15615231;0.045051277;-0.07589995;15.993751;-25.875002;-29.268751
150;-0.41994038;2.7338;9.519845;-0.14973822;-0.011453714;-0.062460925;16.10625;-25.612501;-29.41875
159;-0.3493521;2.737389;9.585648;-0.13202316;-0.075289086;-0.057574004;16.3875;-25.275002;-29.531252
169;-0.31106696;2.6991038;9.667004;-0.10636683;-0.12660173;-0.06307179;16.5375;-25.218752;-29.643751
178;-0.276371;2.678765;9.693324;-0.07063124;-0.15958843;-0.07467822;16.63125;-25.143751;-29.5125
187;-0.27158538;2.676372;9.6682;-0.029092435;-0.17699806;-0.09117157;16.800001;-25.10625;-29.625002
197;-0.2943172;2.6715865;9.661021;0.014278964;-0.16936226;-0.10980295;16.66875;-25.1625;-29.250002
206;-0.3290131;2.6739793;9.554541;0.050625417;-0.13881902;-0.12140937;16.78125;-25.125002;-29.1375
216;-0.38883367;2.6823542;9.431311;0.07811433;-0.10399973;-0.12324197;16.800001;-25.050001;-29.38125
225;-0.43429732;2.71705;9.335598;0.08422298;-0.0716239;-0.11804962;16.650002;-25.087502;-29.212502
234;-0.47018966;2.7314072;9.286545;0.07078396;-0.046883874;-0.11346813;16.368752;-25.368752;-29.1375
244;-0.485743;2.7672994;9.256635;0.04176788;-0.03161225;-0.11102467;16.575;-25.181252;-29.025002
253;-0.5419743;2.7768707;9.239884;-0.0028252497;-0.022754714;-0.10766492;16.575;-25.2;-29.250002
262;-0.5276174;2.792424;9.285348;-0.05627592;-0.018784093;-0.100945406;16.40625;-25.312502;-29.2875
272;-0.5240282;2.7565317;9.366704;-0.102090776;-0.014202606;-0.09575305;16.462502;-25.3875;-29.41875
281;-0.5694918;2.7278178;9.46481;-0.13660464;-0.005345067;-0.09636392;16.25625;-25.425001;-29.643751
290;-0.5766702;2.6656044;9.450453;-0.15370885;-0.007177661;-0.10063997;16.368752;-25.44375;-29.7
300;-0.56590253;2.597409;9.410972;-0.14485131;-0.018784093;-0.10919208;16.5375;-25.518751;-29.718752
309;-0.60059845;2.5519454;9.445667;-0.12102758;-0.014813471;-0.119271345;16.706251;-25.3875;-29.906252
318;-0.6412765;2.568695;9.536594;-0.091400646;0.006261364;-0.12476913;16.5;-25.44375;-29.906252
328;-0.65084773;2.6153553;9.577272;-0.06360629;0.017867794;-0.11957678;16.706251;-25.312502;-29.737501
337;-0.65084773;2.6105695;9.585648;-0.038560838;0.013286309;-0.10491603;16.650002;-25.35;-29.812502
347;-0.62811595;2.5962126;9.600004;-0.020845762;-0.0013744457;-0.085979216;16.59375;-25.312502;-29.98125
356;-0.5946164;2.5878377;9.597611;-0.00923933;-0.023976443;-0.06734784;16.44375;-25.5375;-29.925001
365;-0.5204389;2.5746772;9.554541;-9.926553E-4;-0.056963142;-0.049327333;16.44375;-25.575;-29.6625
375;-0.44985065;2.5734808;9.5353985;0.0060322895;-0.08353576;-0.035888307;16.5375;-25.48125;-29.775002
384;-0.43429732;2.5579274;9.582058;0.0066431547;-0.087506376;-0.025503604;16.425001;-25.500002;-29.775002
393;-0.3924229;2.5914268;9.605987;-0.0022143847;-0.081397735;-0.017562363;16.462502;-25.556252;-29.7
403;-0.3290131;2.605784;9.55813;-0.009544762;-0.08231403;-0.007177661;16.1625;-25.63125;-29.8875
412;-0.25722843;2.6069803;9.54497;-0.016264275;-0.08231403;0.005345067;16.181252;-25.518751;-29.94375
421;-0.2213361;2.6045876;9.58804;-0.019929463;-0.063377224;0.013591741;16.06875;-25.650002;-29.962502
431;-0.22253251;2.6488547;9.637094;-0.022983788;-0.038026333;0.014508039;16.03125;-25.612501;-29.8875
440;-0.18424734;2.7026932;9.610772;-0.023900084;-0.023976443;0.0151189035;15.525001;-25.837502;-29.962502
450;-0.13160525;2.7481568;9.536594;-0.020540329;-0.02489274;0.014202606;15.39375;-25.931252;-29.6625
459;-0.09212367;2.774478;9.493524;-0.011988222;-0.021227552;0.0108428495;15.337501;-25.931252;-29.475
468;-0.078963146;2.812763;9.503095;-0.0022143847;-0.010231985;0.00320704;15.1125;-25.95;-29.1375
