t;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
0;-0.13160525;3.4719856;9.509077;0.062460925;-0.115071654;0.06627883;11.137501;-32.4375;-23.85
10;-0.08853444;3.4337006;9.507881;0.15164718;-0.098960094;0.031077746;11.45625;-32.175003;-24.300001
19;-0.11844472;3.4277184;9.370294;0.22128576;-0.08032872;0.0026725335;12.0;-31.781252;-24.618752
28;-0.15792629;3.4540396;9.188439;0.25396705;-0.06902772;-0.019013166;12.618751;-31.10625;-25.218752
38;-0.22851457;3.4313076;9.056833;0.24663666;-0.077579826;-0.029397868;12.8625;-30.843752;-25.85625
47;-0.2943172;3.4695928;8.957532;0.20479241;-0.10140356;-0.028481571;13.1625;-30.675001;-26.1
57;-0.35174492;3.5389848;8.847462;0.13881902;-0.12828161;-0.019013166;13.668751;-30.337502;-26.925001
66;-0.35653058;3.574877;8.803194;0.056963142;-0.14385866;-0.009850195;14.19375;-29.925001;-27.675001
75;-0.37088752;3.6598222;8.772088;-0.018173227;-0.12675445;-0.0028252497;14.26875;-29.925001;-28.06875
85;-0.33020952;3.694518;8.825927;-0.09300416;-0.09346231;-0.0040469794;14.38125;-29.94375;-28.031252
94;-0.29072794;3.6789649;8.975478;-0.15317434;-0.037873615;-0.011071924;14.625001;-29.79375;-28.331251
103;-0.22851457;3.6394832;9.104691;-0.1999055;0.01527162;-0.019929463;14.75625;-29.831251;-28.368752
113;-0.2620141;3.603591;9.267402;-0.22311836;0.035124727;-0.026343543;15.20625;-29.475;-28.425001
122;-0.27756742;3.5401812;9.403793;-0.21364996;0.031154104;-0.033368487;15.450001;-29.325;-28.35
131;-0.28115666;3.4767714;9.424132;-0.18646647;0.035124727;-0.040088;15.806251;-28.931252;-28.368752
141;-0.33020952;3.400201;9.445667;-0.1434005;0.041233372;-0.047112945;16.125;-28.575;-28.331251
150;-0.38883367;3.3690944;9.529416;-0.1018617;0.02932151;-0.045280352;15.993751;-28.5375;-28.181252
160;-0.44985065;3.379862;9.571291;-0.06704241;0.009162972;-0.030619597;15.993751;-28.35;-28.462502
169;-0.46660042;3.434897;9.529416;-0.029779658;-0.0067195124;-0.005574141;16.050001;-28.331251;-28.275002
178;-0.4749753;3.4277184;9.462418;0.0050396346;-0.017715078;0.015195262;16.1625;-28.218752;-28.425001
188;-0.41635114;3.4037902;9.378669;0.029168794;-0.01924224;0.026190827;15.993751;-28.368752;-28.25625
197;-0.40079778;3.4193435;9.326026;0.03649917;-0.022907428;0.028328855;16.1625;-28.275002;-28.44375
206;-0.4103691;3.4504502;9.343972;0.0377209;-0.04459313;0.026190827;16.03125;-28.3875;-28.425001
216;-0.3792624;3.4911282;9.327223;0.041691523;-0.06444623;0.019776747;16.087502;-28.575;-28.462502
225;-0.3397808;3.4971104;9.280562;0.041996952;-0.0632245;0.0072540194;16.143751;-28.5375;-28.5375
234;-0.31465617;3.4564323;9.232706;0.039553493;-0.041538805;-0.0080176005;16.125;-28.706251;-28.425001
244;-0.30987054;3.4193435;9.26142;0.03161225;-0.0140498895;-0.0184023;16.21875;-28.44375;-28.5375
253;-0.3361916;3.4289148;9.272188;0.019394957;0.0097738365;-0.0193186;16.29375;-28.237501;-28.575
263;-0.3696911;3.4600215;9.270991;7.6358096E-4;0.019547673;-0.009544762;16.35;-28.181252;-28.837502
272;-0.38285163;3.4600215;9.235099;-0.01725693;0.026572619;-3.8179048E-4;16.2;-28.331251;-29.00625
281;-0.37447673;3.438486;9.162118;-0.03527744;0.029932374;0.005726857;16.35;-28.031252;-29.268751
291;-0.37328035;3.4229329;9.113065;-0.05177079;0.03176497;0.010002911;16.425001;-27.937502;-29.38125
300;-0.36131623;3.4444683;9.109476;-0.06429352;0.029016078;0.013057235;16.59375;-27.6375;-29.587502
309;-0.357727;3.4779677;9.108279;-0.07315106;0.023518294;0.012751802;16.556252;-27.6375;-29.718752
319;-0.3589234;3.4743786;9.126225;-0.076816246;0.015577052;0.009086614;16.425001;-27.900002;-29.643751
328;-0.3493521;3.4504502;9.12503;-0.07589995;0.0036651888;0.003894263;16.35;-28.10625;-29.6625
337;-0.3385844;3.4396825;9.138189;-0.07101303;-0.015882485;-0.0037415468;16.181252;-28.462502;-29.41875
347;-0.33738798;3.4013975;9.202796;-0.06307179;-0.037873615;-0.009544762;16.331251;-28.312502;-29.325
356;-0.32183465;3.3846476;9.267402;-0.057268575;-0.045814857;-0.010766491;16.21875;-28.593752;-29.04375
365;-0.30987054;3.377469;9.302098;-0.0490219;-0.043065965;-0.011071924;16.087502;-28.781252;-29.04375
375;-0.3062813;3.3523445;9.3511505;-0.041080657;-0.034208428;-0.009544762;16.1625;-28.875002;-28.687502
384;-0.26919255;3.3439696;9.379865;-0.034361143;-0.026267186;-0.005574141;16.3875;-28.81875;-28.518751
394;-0.2835495;3.3439696;9.378669;-0.025503604;-0.01802051;8.3993905E-4;16.556252;-28.5375;-28.5375
403;-0.2727818;3.3379877;9.369097;-0.020922119;-0.017409647;0.0035888306;16.725;-28.406252;-28.575
412;-0.2847459;3.345166;9.357133;-0.013897174;-0.01802051;0.00481056;17.025002;-28.1625;-28.706251
422;-0.2440679;3.3415768;9.309277;-0.011453714;-0.023823727;0.0026725335;17.025002;-28.237501;-28.687502
431;-0.25004998;3.3487554;9.287741;-0.011148282;-0.037568185;-7.63581E-5;17.081251;-28.181252;-28.781252
440;-0.23449662;3.3846476;9.26142;-0.015729768;-0.05986475;-0.00160352;17.118752;-28.218752;-28.650002
450;-0.24047868;3.3990045;9.292527;-0.02367101;-0.08735366;-0.0019089525;17.00625;-28.406252;-28.9125
459;-0.17826529;3.4432719;9.317652;-0.028557928;-0.09957096;-0.0037415468;16.875;-28.518751;-28.875002
468;-0.12562318;3.4408789;9.276974;-0.031001387;-0.09773836;-0.0058795735;16.743752;-28.63125;-28.968752
478;-0.08733802;3.4013975;9.298509;-0.029168794;-0.092851445;-0.009544762;16.650002;-28.781252;-28.85625
487;-0.083748795;3.4121652;9.335598;-0.03008509;-0.09071342;-0.015042545;16.368752;-28.743752;-28.9125
497;-0.050249275;3.397808;9.360723;-0.022754714;-0.08307761;-0.01962403;16.3875;-28.593752;-29.025002
506;-0.031106694;3.3918262;9.365508;-0.016951498;-0.07147118;-0.02573268;16.3875;-28.48125;-29.156252
515;0.016749758;3.3918262;9.3511505;-0.0074830935;-0.054366965;-0.031230463;16.2;-28.425001;-29.175001
525;0.013160525;3.3846476;9.333204;0.004123337;-0.03848448;-0.03489565;16.125;-28.500002;-29.212502
534;-0.010767702;3.4013975;9.323633;0.011148282;-0.032375835;-0.036728244;16.275002;-28.29375;-29.400002
543;-0.025124637;3.4456646;9.335598;0.020922119;-0.034208428;-0.03733911;16.25625;-28.331251;-29.456251
553;-0.023928227;3.4624143;9.30808;0.03375028;-0.032070402;-0.038560838;16.44375;-28.06875;-29.681252
562;-0.0047856453;3.4540396;9.26142;0.043218683;-0.034819294;-0.041920595;16.7625;-28.0125;-29.643751
571;-0.0035892338;3.4444683;9.209974;0.0490219;-0.047952887;-0.048334677;16.893751;-27.825;-29.6625
581;-0.013160525;3.4672;9.182457;0.0490219;-0.0650571;-0.057497647;16.875;-28.125002;-29.643751
590;-0.022731815;3.4887354;9.145369;0.042302385;-0.080634154;-0.06666062;17.0625;-28.050001;-29.550001
600;-0.019142581;3.4947174;9.133404;0.027030766;-0.09224058;-0.07399099;17.1375;-27.862501;-29.38125
609;0.019142581;3.4683964;9.09153;0.008093959;-0.09040799;-0.08132137;17.19375;-27.73125;-29.23125
618;0.03589234;3.4564323;9.071191;-0.008093959;-0.0754418;-0.09048434;17.212502;-27.806252;-29.081251
628;0.015553347;3.4396825;9.062816;-0.026419902;-0.059253883;-0.102090776;16.95;-28.050001;-28.893751
637;-0.02751746;3.4133615;9.068798;-0.041691523;-0.04734202;-0.111253746;16.837502;-28.143751;-28.837502
646;-0.047856454;3.3930225;9.093923;-0.059101168;-0.045203995;-0.11766783;16.743752;-28.331251;-28.81875
656;-0.09092726;3.3810585;9.120243;-0.07192933;-0.047952887;-0.12102758;16.893751;-28.10625;-28.837502
665;-0.13160525;3.3870404;9.153743;-0.08414663;-0.054366965;-0.12041672;17.04375;-27.993752;-29.19375
674;-0.13160525;3.3619158;9.190832;-0.0923933;-0.062308207;-0.11919499;16.95;-28.10625;-29.250002
684;-0.15194423;3.3320055;9.215957;-0.10002911;-0.064140804;-0.12133302;17.04375;-28.2;-29.306252
693;-0.1794617;3.3415768;9.253045;-0.10644319;-0.06475167;-0.12408191;17.025002;-28.312502;-29.38125
703;-0.20817557;3.3212378;9.305687;-0.10216714;-0.065667965;-0.12805253;17.1375;-28.2;-29.437502
712;-0.23449662;3.3032916;9.316455;-0.099723674;-0.07299834;-0.12866339;17.23125;-28.2;-29.343752
721;-0.276371;3.3320055;9.361918;-0.09636392;-0.08735366;-0.12744166;17.175001;-28.275002;-29.212502
731;-0.2883351;3.266203;9.395418;-0.08994984;-0.09407318;-0.12408191;17.04375;-28.25625;-29.306252
740;-0.30388847;3.2721848;9.361918;-0.07620538;-0.08491021;-0.11614066;16.85625;-28.556252;-28.9125
749;-0.2955136;3.2650065;9.395418;-0.063377224;-0.06994402;-0.11064288;16.987501;-28.462502;-29.250002
759;-0.31585258;3.2673993;9.393025;-0.053603385;-0.05650499;-0.10881029;16.85625;-28.406252;-29.475
